院校,专业名称,最低分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州英华职业学院,电子商务,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州职业技术学院,计算机网络技术,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州职业技术学院,软件技术,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州职业技术学院,云计算技术应用,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州职业技术学院,智能互联网络技术,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黎明职业大学,物联网应用技术,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黎明职业大学,计算机网络技术,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湄洲湾职业技术学院,物联网应用技术,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湄洲湾职业技术学院,计算机应用技术,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湄洲湾职业技术学院,软件技术,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湄洲湾职业技术学院,人工智能技术应用,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湄洲湾职业技术学院,动漫制作技术,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闽北职业技术学院,智能控制技术,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闽北职业技术学院,软件技术,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闽北职业技术学院,虚拟现实技术应用,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闽北职业技术学院,移动应用开发,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闽北职业技术学院,电子商务,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闽北职业技术学院,数字媒体艺术设计,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闽北职业技术学院,融媒体技术与运营,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闽江师范高等专科学校,物联网应用技术,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闽江师范高等专科学校,数字媒体技术,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闽江师范高等专科学校,信息安全技术应用,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闽西职业技术学院,计算机应用技术,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闽西职业技术学院,软件技术,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闽西职业技术学院,大数据技术,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闽西职业技术学院,工业互联网技术,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁德职业技术学院,计算机应用技术,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁德职业技术学院,计算机网络技术,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁德职业技术学院,电子商务,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州纺织服装职业学院,计算机应用技术,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州纺织服装职业学院,数字媒体技术,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州纺织服装职业学院,信息安全技术应用,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州纺织服装职业学院,虚拟现实技术应用,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州纺织服装职业学院,人工智能技术应用,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州纺织服装职业学院,网络营销与直播电商,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州纺织服装职业学院,广告艺术设计,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州纺织服装职业学院,融媒体技术与运营,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州工程职业技术学院,软件技术,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州工程职业技术学院,大数据技术,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州工程职业技术学院,人工智能技术应用,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州工艺美术职业学院,数字媒体艺术设计,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州经贸职业技术学院,移动互联应用技术,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州经贸职业技术学院,汽车智能技术,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州经贸职业技术学院,软件技术,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州经贸职业技术学院,大数据技术,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州经贸职业技术学院,信息安全技术应用,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州经贸职业技术学院,虚拟现实技术应用,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州经贸职业技术学院,人工智能技术应用,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州经贸职业技术学院,电子商务,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州轻工职业学院,工业互联网应用,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州轻工职业学院,物联网应用技术,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州轻工职业学院,计算机应用技术,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州轻工职业学院,人工智能技术应用,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州轻工职业学院,动漫制作技术,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州轻工职业学院,电子商务,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
